周边交通,商业用房平均价,开盘时间,容积率,座落,车位,设备装修,绿化率,楼盘简介,总幢数,开发商,住宅平均价,土地等级,项目名称,入住时间,联系电话,配套设施
,,1990-01-01 00:00:00.0,,于洪区银山路3号,,,,,,辽宁长江房地产开发有限公司,御林家园,,11,,,
,,1990-01-01 00:00:00.0,,于洪区怒江北街,,,,,,恒盛阳光鑫地（辽宁）置业有限公司,阳光尚城三期,,,,,
,,1990-01-01 00:00:00.0,,,,,,,,辽宁省省直房地产开发总公司,中德节能示范园,,,,,
,,1990-01-01 00:00:00.0,,铁西区腾飞一街,,,,,,辽宁世代房地产开发有限公司,龙城公馆,,,,,
,,1990-01-01 00:00:00.0,,浑南新区中心区42号-1地块,,,,,,辽宁弘浩房地产开发有限公司,“左岸慧晶”住宅小区三期,,8,,,
,,1990-01-01 00:00:00.0,,,,,,,,沈阳华凌房地产有限公司,沈阳美村,,,,,
,,1990-01-01 00:00:00.0,,和平区太原南街,,,,,,沈阳沈铁房地产开发集团有限责任公司,太原佳园,,,,,
,,1990-01-01 00:00:00.0,,铁西区,,,,,,辽宁信大房屋开发有限公司,锦绣四合院B区,,,,,
,,,,铁西区,,,,,,沈阳福日房地产开发有限公司,住宅（福日安居）,,,,,
,,,,于洪区,,,,,,辽宁海特房屋开发有限公司,亚都名苑三期,,,,,
,,,,铁西区,,,,,,沈阳万达房地产有限公司,北一万达广场（三期）,,,,,
,,,,大东区,,,,,,沈阳万科东漫置业有限公司,蓝山苑,,,,,
,,,,沈阳经济技术开发区,,,,,,沈阳金辉居业房地产有限公司,金辉.尚?一期,,,,,
,,,,于洪区,,,,,,沈阳澳源房地产开发有限公司,居住、商业（5号地块）,,,,,
,,,,东陵区,,,,,,沈阳万科东阪置业有限公司,万科明天广场,,,,,
,,,,东陵区,,,,,,沈阳荣盛中天房地产开发有限公司,居住、商业（二期）,,,,,
,,,,于洪区,,,,,,恒大长基（沈阳）置业有限公司,恒大绿洲三期B块11-1组团,,,,,
,,,,东陵区,,,,,,沈阳浑南置业嘉年房地产开发有限公司,居住、商业,,,,,
,,,,沈阳经济技术开发区,,,,,,中南世纪城（沈阳）房地产开发有限公司,中南世纪城一期（A1#-A8#）,,,,,
,,,,东陵区,,,,,,沈阳华凌房地产有限公司,居住、商业（四期-1）,,,,,
,,,,东陵区,,,,,,港中旅（沈阳）置业有限公司,棋盘山欧陆旅游小镇二期三组团,,,,,
,,,,大东区,,,,,,沈阳轩峰房地产开发有限公司,居住、商业（4.1期）,,,,,
,,,,东陵区,,,,,,沈阳大族伴山湖房地产开发有限公司,伴山湖,,,,,
,,,,沈北新区,,,,,,沈阳市碧桂园房地产开发有限公司,沈阳碧桂园2-2区,,,,,
,,,,沈阳经济技术开发区,,,,,,沈阳远大房地产开发有限公司,远大花园,,,,,
,,1990-01-01 00:00:00.0,,经济技术开发区,,,,,,金光置业（沈阳）有限公司,丽水金阳俱乐部,,,,,
,,,,于洪区,,,,,,辽宁荣信集团沈阳房地产开发有限公司,财富广场、公寓、快餐店,,,,,
,,,,沈阳经济技术开发区,,,,,,沈阳澳海澜庭房地产开发有限公司,澳海澜庭一期,,,,,
,,,,沈阳经济技术开发区,,,,,,沈阳特变电工房地产开发有限责任公司,特变水木融城住宅小区一期,,,,,
,,,,东陵区,,,,,,沈阳亿丰新城置业有限公司,商业,,,,,
,,,,铁西区,,,,,,沈阳泰丰房地产开发有限公司,东北机电五金城精品市场,,,,,
,,,,大东区,,,,,,沈阳中体房地产开发有限公司,中体奥林匹克新城（六期-1）,,,,,
,,,,东陵区,,,,,,沈阳浑南置业房地产开发有限公司,居住（一期）,,,,,
,,,,沈阳经济技术开发区,,,,,,沈阳新湖房地产开发有限公司,新湖 北国之春七期B区,,,,,
,,,,于洪区,,,,,,沈阳中海新海汇置业有限公司,居住 商业（二期02D）,,,,,
,,,,东陵区,,,,,,沈阳东部置业开发有限公司,万科惠山花园2.2期,,,,,
,,,,东陵区,,,,,,沈阳金地滨河房地产置业有限公司,居住、商业,,,,,
,,,,沈阳经济技术开发区,,,,,,沈阳荣盛锦绣天地房地产开发有限公司,荣盛锦绣天地二期,,,,,
,,1990-01-01 00:00:00.0,,大东区津桥路南测,,,,,,沈阳丰瑞置业有限公司,商业,,2,2009-12-31 00:00:00.0,,
,,1990-01-01 00:00:00.0,,沈北新区,,,,,,沈阳辉山农业高新区建设开发有限公司,厂房、宿舍楼、办公楼、服务楼,,,,,
,,,,沈北新区,,,,,,吉宝城镇开发（沈阳）有限公司,季景沁园,,,,,
,,,,于洪区,,,,,,沈阳富兴安泰房地产开发有限公司,居住、商业（二期b）,,,,,
,,,,沈北新区,,,,,,沈阳龙湖房地产拓展有限公司,龙湖辉山商住地产1.2期,,,,,
,,,,苏家屯区,,,,,,沈阳悦通置业有限公司,住宅、商业（二期B-3）,,,,,
,,,,沈北新区,,,,,,沈阳荣盛房地产开发有限公司,香缇澜山二期,,,,,
,,,,大东区,,,,,,辽宁城投地产开发有限公司,居住,,,,,
,,,,苏家屯区,,,,,,沈阳奥园新城置业有限公司,沈阳奥园广场（二期A）,,,,,
,,,,沈北新区雅园街2号,,,,,,沈阳蒲河房地产开发有限公司,丽水人家一期,,,,,
,,,,沈北新区,,,,,,沈阳沈北金谷置业有限公司,新湖?仙林金谷二期,,,,,
,,,,皇姑区,,,,,,沈阳金辉房地产开发有限公司,居住、商业,,,,,
,,,,东陵区,,,,,,沈阳同麟房地产开发有限公司,居住、商业,,,,,
,,,,沈阳经济技术开发区沈辽西路82号,,,,,,辽宁益格豪尔房地产开发有限公司,益格.美郡商城,,,,,
,,,,铁西区,,,,,,沈阳旺世房产开发有限公司,西部综合汽配城,,,,,
,,,,沈阳经济技术开发区,,,,,,辽宁恒生（沈阳）置业有限公司,水墨丹青 砚池（14.15.16住宅楼）,,,,,
,,,,沈阳市和平区吉安路,,,,,,积水置业（沈阳）有限公司,居住、商业（二期）,,,,,
,,,,于洪区,,,,,,阳光一百置业（辽宁）有限公司,住宅、公建（柏林翠庭E2E3组团E6及地下）,,,,,
,,,,苏家屯区,,,,,,辽宁报业衡臻房地产开发有限公司,居住、商业（一期）,,,,,
,,,,于洪区,,,,,,沈阳天益同禄房地产开发有限公司,商业,,,,,
,,,,于洪区,,,,,,沈阳中铁盛丰置业有限公司,丁香水岸2.1期,,,,,
,,,,铁西区,,,,,,沈阳金谷科技园股份有限公司,金谷壹号 千缘财富公馆（一期）,,,,,
,,,,沈阳经济技术开发区,,,,,,沈阳正宸置业有限公司,弘泽锦城六期,,,,,
,,,,于洪区,,,,,,沈阳华锐置业有限公司,银河城4-2区,,,,,
,,,,于洪区,,,,,,沈阳宸邦置业有限公司,居住、公建（御龙湾住宅小区）,,,,,
,,,,沈河区,,,,,,中房集团辽宁置业有限公司,居住商业（六期三）,,,,,
,,,,苏家屯区,,,,,,沈阳奥园新城置业有限公司,住宅、商业奥园新城二期A1（A1-1）,,,,,
,,,,于洪区,,,,,,沈阳华锐置业有限公司,银河城4-3区,,,,,
,,,,沈北新区蒲昌路15号,,,,,,沈阳恒先房地产开发有限公司,美麟阁,,,,,
,,,,东陵区,,,,,,沈阳新希望置业有限公司,宴山（1.2期）,,,,,
,,,,东陵区,,,,,,沈阳方迪置业有限公司,满族风情小镇（三期）,,,,,
,,,,东陵区,,,,,,沈阳方迪置业有限公司,满族风情小镇四期,,,,,
,,,,沈北新区,,,,,,"辽宁麓林置业有限公司
",麓林春语轩（30#）,,,,,
,,,,于洪区,,,,,,沈阳鹏辉置业有限公司,沈阳机械基础零部件产业园工业一期B区项目,,,,,
,,,,于洪区,,,,,,辽宁地威置业有限公司,住宅、商业（金沙岭?）,,,,,
,,,,东陵区,,,,,,沈阳奥体万达广场有限公司,居住、商业（一期）,,,,,
,,,,沈北新区,,,,,,沈阳幸福筑家房地产开发有限公司,盛京绿洲（三期）,,,,,
,,,,东陵区,,,,,,沈阳钰海国际置业开发有限公司,商业,,,,,
,,,,于洪区,,,,,,阳光一百置业（辽宁）有限公司,阳光100新城柏林翠庭E1组团,,,,,
,,,,东陵区,,,,,,沈阳万科东阪置业有限公司,居住(北区三期),,,,,
,,,,铁西区,,,,,,沈阳千缘商汇置业有限公司,千缘财富天下,,,,,
,,,,苏家屯区,,,,,,沈阳五洲城建材广场有限公司,五洲商品展贸城,,,,,
,,,,和平区,,,,,,沈阳星辰房地产开发有限公司,居住、商业（二期）,,,,,
,,,,沈河区,,,,,,中房集团辽宁置业有限公司,住宅、商业（五期一组团）,,,,,
,,,,东陵区,,,,,,沈阳中安房地产开发有限公司,居住、商业（四期）,,,,,
,,,,沈北新区,,,,,,沈阳永丰房屋开发有限公司,山水家园西沟1期,,,,,
,,,,东陵区,,,,,,沈阳远山置业有限公司,商业,,,,,
,,,,和平区,,,,,,沈阳润隆房地产开发有限公司,居住、商业,,,,,
,,,,东陵区,,,,,,沈阳金地长青房地产开发有限公司,商业,,,,,
,,,,沈阳经济技术开发区,,,,,,沈阳荣富置业有限公司,馨韵雅居,,,,,
,,,,于洪区,,,,,,沈阳康华房地产开发有限公司,朗香邸住宅、商业（一期）,,,,,
,,,,铁西区,,,,,,沈阳家润房屋开发有限公司,兰亭馨居,,,,,
,,,,于洪区,,,,,,沈阳华锐置业有限公司,银河城1-8区,,,,,
,,,,苏家屯区,,,,,,沈阳富宏房地产开发有限公司,浑河国际城（一期）,,,,,
,,,,苏家屯区,,,,,,沈阳诚鑫房地产开发有限公司,满融公馆（一期）,,,,,
,,,,苏家屯区,,,,,,沈阳鸿鹄房地产开发有限公司,会展壹号（一期）,,,,,
,,,,和平区,,,,,,沈阳朗勤置业有限公司,朗勤商道工程（中华路地下空间）,,,,,
,,,,皇姑区,,,,,,沈阳保利溪湖房地产开发有限公司,保利溪湖林语花园,,,,,
,,,,铁西区,,,,,,沈阳能发伟业房地产开发有限公司,全时生活馆,,,,,
,,,,东陵区,,,,,,沈阳君海房地产开发有限公司,居住、商业（一期）,,,,,
,,,,于洪区,,,,,,沈阳世纪华泰房地产开发有限公司,一期B区,,,,,
,,,,沈北新区,,,,,,新凯（沈阳）房地产开发有限公司,逸景盛熙城,,,,,
,,,,沈阳经济技术开发区,,,,,,沈阳鹏臣房地产开发有限公司,乐城国际住宅小区B、C区1期,,,,,
,,,,皇姑区,,,,,,沈阳中海兴业房地产开发有限公司,居住、商业（三期-3）,,,,,
,,,,和平区,,,,,,沈阳恩德房地产开发有限公司,居住、商业,,,,,
,,,,沈北新区,,,,,,沈阳泰盈棕榈园房地产开发有限公司,九如溪谷商业街A段1#楼,,,,,
,,,,于洪区,,,,,,沈阳中农置业有限公司,1-14农产品批发市场 15商业,,,,,
,,,,于洪区,,,,,,阳光一百置业（辽宁）有限公司,柏林翠庭E2、E3组团E3-E5、E20、E2a、3a#及地下室,,,,,
,,,,铁西区,,,,,,沈阳宏发经龙房地产开发有限公司,长岛二期,,,,,
,,,,和平区,,,,,,沈阳世茂新发展置业有限公司,住宅,,,,,
,,,,沈河区,,,,,,沈阳万科恒祥置地有限公司,居住商业（1.2期）,,,,,
,,,,铁西区,,,,,,沈阳鑫丰置业房地产开发有限公司,住宅、商业,,,,,
,,,,沈阳经济技术开发区,,,,,,沈阳鹏臣房地产开发有限公司,乐城国际住宅A1区,,,,,
,,,,皇姑区,,,,,,沈阳市兴和房屋开发有限公司,住宅楼、商业用房,,,,,
,,,,东陵区,,,,,,沈阳万科东阪置业有限公司,商业（南区一期）,,,,,
,,,,东陵区,,,,,,沈阳昊华置业有限公司,首创沈阳棋盘山七间房项目（三期）,,,,,
,,,,于洪区,,,,,,恒大鑫源（沈阳）置业有限公司,居住区工程（七期）,,,,,
,,,,皇姑区,,,,,,沈阳原野房地产开发有限公司,皇姑10地块房屋地产项目,,,,,
,,,,大东区,,,,,,沈阳嘉汇置业有限公司,恒大翡翠华庭（一期）,,,,,
,,,,于洪区,,,,,,沈阳苹果树置业有限公司,住宅、商业,,,,,
,,,,于洪区,,,,,,沈阳华锐置业有限公司,银河城4-1区,,,,,
,,,,沈阳经济技术开发区,,,,,,沈阳彬海房地产开发有限公司,1#-8#、1a#、3a#、5a#、地下,,,,,
,,,,东陵区,,,,,,沈阳高力置业有限公司,华茂中心D地块,,,,,
,,,,沈北新区,,,,,,辽宁东方创展置业有限公司,水晶蓝湾（一期）,,,,,
,,,,沈河区,,,,,,沈阳群升置业有限公司,居住、商业,,,,,
,,,,沈河区,,,,,,沈阳夏宫房地产开发有限公司,居住、商业一期工程,,,,,
,,1990-01-01 00:00:00.0,,沈北新区,,,,,,沈阳辉山农业高新区建设开发有限公司,1#-20#厂房,,,,,
,,,,沈河区,,,,,,沈阳万科恒祥置地有限公司,春河里,,,,,
,,,,铁西区,,,,,,沈阳铁道房地产开发有限责任公司,车辆段南库地块,,,,,
,,,,沈北新区,,,,,,沈阳永丰房屋开发有限公司,山水家园东沟1.1期,,,,,
,,,,于洪区,,,,,,沈阳国合汇邦房地产开发有限公司,居住、商业（一期）,,,,,
,,,,和平区,,,,,,沈阳九洲福尔房地产开发有限公司,居住、商业（三期A区）,,,,,
,,,,东陵区,,,,,,辽宁慧缘房地产开发有限公司,居住（二期）,,,,,
,,,,铁西,,,,,,沈阳鑫昊房地产开发有限公司,云峰领地,,,,,
,,,,沈北新区,,,,,,沈阳明华恒基房地产开发有限公司,明华 香峪兰溪1.5期,,,,,
,,,,东陵区,,,,,,沈阳钰海国际置业开发有限公司,居住,,,,,
,,,,于洪区,,,,,,辽宁林成房地产开发有限公司,居住、商业（三期）,,,,,
,,,,苏家屯区,,,,,,沈阳二手车交易市场有限责任公司,升级改造扩建项目（展厅）,,,,,
,,,,沈北新区,,,,,,沈阳明华恒基房地产开发有限公司,明华 香峪兰二期,,,,,
,,,,东陵区,,,,,,沈阳穗港白云房地产投资开发有限公司,穗港.公园里二期项目,,,,,
,,,,皇姑区,,,,,,辽宁基业房地产开发有限公司,住宅、商业,,,,,
,,,,沈阳经济技术开发区,,,,,,未来置业（沈阳）有限公司,假日名居,,,,,
,,,,沈北新区,,,,,,沈阳恒联置业有限公司,裕湾花园一期（3号地块）,,,,,
,,,,沈北新区,,,,,,沈阳恒联置业有限公司,裕湾花园一期（2号地块）,,,,,
,,,,东陵区,,,,,,沈阳金地长青房地产开发有限公司,居住、商业（十期）,,,,,
,,,,苏家屯区,,,,,,沈阳新朋房地产开发有限公司,住宅、商业（北国奥林匹克花园二期）,,,,,
,,,,于洪区,,,,,,沈阳中海新海汇置业有限公司,居住、商业（02G）一期,,,,,
,,,,沈北新区,,,,,,沈阳景盛万利房地产有限公司,三盛颐景园,,,,,
,,,,东陵区,,,,,,沈阳博荣置业有限公司,住宅、商业（35#、36#、37#）,,,,,
,,,,东陵区,,,,,,沈阳尊荣置业发展有限公司,居住、商业,,,,,
,,,,经济技术开发区,,,,,,沈阳宏亚房产开发有限公司,21#、24#、25#、26#,,,,,
,,,,铁西区,,,,,,沈阳国际纺织服装城开发有限公司,沈阳国际纺织服装城（商务楼）,,,,,
,,,,东陵区,,,,,,沈阳万科金域蓝湾房地产开发有限公司,居住（二期二组团）,,,,,
,,,,于洪区,,,,,,华润置地（沈阳）开发有限公司,居住组团（二环路北-2号）二期-2,,,,,
,,,,皇姑区,,,,,,沈阳保利溪湖房地产开发有限公司,保利溪湖林语花园（二号地块一期）,,,,,
,,,,沈河区,,,,,,嘉里（沈阳）房地产开发有限公司,居住 商业（C地块-1）,,,,,
,,,,沈北新区,,,,,,沈阳泰盈棕榈园房地产开发有限公司,九如溪谷 4.1期,,,,,
,,,,苏家屯区,,,,,,沈阳泰盈环达通苏西房产开发有限公司,住宅、商业（十里锦城3.2期）,,,,,
,,,,东陵区,,,,,,沈阳华凌房地产有限公司,居住、商业（一期）,,,,,
,,,,苏家屯区,,,,,,沈阳坤为房地产开发有限公司,香醇波尔多二期,,,,,
,,,,和平区,,,,,,沈阳万科永达房地产开发有限公司,9.2期,,,,,
,,,,沈阳经济技术开发区,,,,,,沈阳博驰房地产开发有限公司,5#6#7#楼,,,,,
,,,,大东区,,,,,,沈阳景峰房地产开发有限公司,居住、商业,,,,,
,,,,铁西区,,,,,,沈阳金地全胜房地产开发有限公司,金地?名京（南区二期）,,,,,
,,,,和平区,,,,,,中海地产（沈阳）有限公司,居住、商业（6B#地块居住 商业）,,,,,
,,,,东陵区,,,,,,沈阳万怡房产置业有限公司,居住、商业（二期二组团）,,,,,
,,,,东陵区,,,,,,华润置地（沈阳）房地产开发有限公司,华润奉天九里花园二期-1,,,,,
,,,,沈阳经济技术开发区,,,,,,沈阳凯怡开发建设有限公司,凯怡阳光二期,,,,,
,,,,东陵区,,,,,,沈阳印象名流置业有限公司,名流嘉园（一期）,,,,,
,,,,于洪区,,,,,,沈阳永盛房屋开发有限公司,水调歌城?四期I组团,,,,,
,,,,东陵区,,,,,,沈阳新希望置业有限公司,宴山（1.1期）,,,,,
,,,,于洪区,,,,,,沈阳中港地产有限公司,中国.沈阳国际特种机床装备城工业一期项目,,,,,
,,,,苏家屯区,,,,,,沈阳东方基业房地产开发有限公司,厂房,,,,,
,,,,沈北新区,,,,,,沈阳首开盛泰置业有限责任公司,乐活小镇（一期）,,,,,
,,,,苏家屯区,,,,,,沈阳奥园新城置业有限公司,住宅、商业（奥园新城一期C2）,,,,,
,,,,沈北新区蒲河路27号,,,,,,沈阳中铁盛丰置业有限公司,中铁人杰湖项目1.4期,,,,,
,,,,于洪区,,,,,,沈阳富兴安泰房地产开发有限公司,居住、商业一期,,,,,
,,,,沈阳经济技术开发区,,,,,,沈阳发展北大教育科学园有限公司,沈阳发展北大教育科学园三期工程住宅项目,,,,,
,,,,沈阳经济技术开发区,,,,,,沈阳荣盛幸福大道房地产开发有限公司,幸福大道花园三期A区,,,,,
,,,,于洪区,,,,,,沈阳中海新海汇置业有限公司,住宅，商业,,,,,
,,,,沈阳经济技术开发区,,,,,,沈阳速腾房地产开发有限公司,速腾名郡,,,,,
,,,,苏家屯区,,,,,,沈阳奥园新城置业有限公司,沈阳奥园新城一期（A区）,,,,,
,,,,沈北新区,,,,,,沈阳亚泰金安房地产开发有限公司,亚泰城（一期）,,,,,
,,,,经济技术开发区,,,,,,沈阳瑞诚兴达房地产开发有限公司,梦想西铁成二期A区,,,,,
,,,,于洪区,,,,,,沈阳华锐置业有限公司,银河城一期（2区三期）,,,,,
,,,,于洪区,,,,,,沈阳中铁万科祥盟置地有限公司,香湖盛景苑（南区）1.1期,,,,,
,,,,东陵区,,,,,,沈阳绿地置业有限公司,绿地国宾府,,,,,
,,,,东陵区,,,,,,沈阳博瑞房地产开发有限公司,居住、商业,,,,,
,,,,沈北新区,,,,,,沈阳龙湖新北置业有限公司,龙湖道义项目A2地块一组团,,,,,
,,,,于洪区,,,,,,阳光一百置业（辽宁）有限公司,泊林翠庭E2、E3组团E1、E2#楼,,,,,
,,,,大东区,,,,,,辽宁宏缘商业地产开发有限公司,宏缘五十号公馆,,,,,
,,,,大东区,,,,,,沈阳恒睿置业有限公司,陶瓷城北一期-1.2项目,,,,,
,,,,大东区,,,,,,沈阳恒睿置业有限公司,陶瓷城北一期-1.1项目,,,,,
,,,,铁西区,,,,,,沈阳方大房地产开发有限公司,方大胜景小区一期,,,,,
,,,,东陵区,,,,,,沈阳万恒易赛房地产开发有限公司,居住、商业,,,,,
,,,,大东区,,,,,,辽宁宝兴房地产开发有限公司,黎明生活坊,,,,,
,,,,和平区,,,,,,万祥置业（沈阳）有限公司,居住、商业（3.2期）,,,,,
,,,,于洪区,,,,,,沈阳华锐置业有限公司,银河城（1-7区）,,,,,
,,,,沈河区,,,,,,中房集团辽宁置业有限公司,上东花墅6.1期,,,,,
,,,,东陵区,,,,,,沈阳金地长青房地产开发有限公司,金地滨河国际社区五期,,,,,
,,,,东陵区,,,,,,沈阳奥体万达广场有限公司,居住、商业,,,,,
,,,,东陵区,,,,,,沈阳中安房地产开发有限公司,居住、商业,,,,,
,,,,苏家屯区,,,,,,辽宁成源置业有限公司,住宅、商业（一期）,,,,,
,,,,于洪区,,,,,,沈阳正轩房地产开发有限公司,香槟新坐标,,,,,
,,,,沈北新区,,,,,,沈阳龙湖新北置业有限公司,龙湖道义项目（E1地块）一期一、二组团,,,,,
,,,,东陵区,,,,,,沈阳美地房地产开发有限公司,居住、商业（二期）,,,,,
,,,,皇姑区,,,,,,沈阳中海兴业房地产开发有限公司,居住、商业（六期）,,,,,
,,,,东陵区,,,,,,沈阳东部置业开发有限公司,万科惠山花园2.1期,,,,,
,,,,和平区,,,,,,中海地产（沈阳）有限公司,居住、商业（5#地居住）,,,,,
,,,,东陵区,,,,,,沈阳皇家枫景地产置业有限责任公司,皇家枫景,,,,,
,,,,大东区,,,,,,沈阳煜盛时代房地产开发有限公司,居住、商业（二期-1）,,,,,
,,,,东陵区,,,,,,沈阳幸福置业有限公司,居住、商业,,,,,
,,,,苏家屯区,,,,,,沈阳悦通置业有限公司,住宅、商业（二期B-2）,,,,,
,,,,大东区,,,,,,沈阳东方银座中心城置业有限公司,东方银座中心城,,,,,
,,,,于洪区,,,,,,沈阳市和泰房地产开发有限公司,居住、商业（一期）,,,,,
,,,,东陵区,,,,,,沈阳全运村建设有限公司,居住、商业（一期）,,,,,
,,,,东陵区,,,,,,沈阳开元房地产开发有限公司,一品洋房,,,,,
,,,,沈北新区,,,,,,沈阳雷明置业有限公司,雷明锦程花园,,,,,
,,,,苏家屯区,,,,,,沈阳泰盈环达通苏西房产开发有限公司,住宅、商业（十里锦城3.1A期）,,,,,
,,,,东陵区,,,,,,沈阳金地长青房地产开发有限公司,居住、商业（七期）,,,,,
,,,,东陵区,,,,,,沈阳华沃置业有限公司,居住、商业,,,,,
,,,,沈北新区,,,,,,沈阳百益龙置业有限公司,太湖国际花园二期2.2,,,,,
,,,,铁西区,,,,,,辽宁丰大房屋开发有限公司,阳光碧水园（二期）,,,,,
,,,,东陵区,,,,,,辽宁中太房地产开发有限公司,居住、商业,,,,,
,,,,沈河区,,,,,,裕景地产（沈阳）有限公司,居住、商业（一期）,,,,,
,,,,沈阳经济技术开发区,,,,,,沈阳宏亚房产开发有限公司,优诗美地,,,,,
,,,,大东区,,,,,,沈阳景峰房地产开发有限公司,龙之梦亚太中心,,,,,
,,,,苏家屯区,,,,,,沈阳奥园新城置业有限公司,住宅、商业 奥园新城二期A1,,,,,
,,,,东陵区,,,,,,沈阳金地长青房地产开发有限公司,居住、商业（六期）,,,,,
,,,,于洪区,,,,,,辽宁世代房地产开发有限公司,世代商业广场,,,,,
,,,,皇姑区,,,,,,沈阳中海兴业房地产开发有限公司,商业（三期-2）,,,,,
,,,,于洪区,,,,,,沈阳向光裕房地产开发有限公司,永利嘉院,,,,,
,,,,铁西区,,,,,,沈阳金地全胜房地产开发有限公司,金地.名京（南区一期）,,,,,
,,,,沈阳经济技术开发区,,,,,,沈阳远大房地产开发有限公司,远大家园,,,,,
,,,,苏家屯区,,,,,,沈阳悦通置业有限公司,住宅、商业（二期B-1）,,,,,
,,,,和平区,,,,,,沈阳沈铁房地产开发集团有限责任公司,沈铁?和谐佳园,,,,,
,,,,东陵区,,,,,,沈阳嘉凯置业有限公司,恒大江湾,,,,,
,,,,沈河区,,,,,,世贸广场（沈阳）置业有限公司,东北世贸广场一期,,,,,
,,,,皇姑区,,,,,,沈阳德信利和房地产开发有限公司,商业（B栋）,,,,,
,,,,铁西区,,,,,,沈阳永瑞达房地产开发有限公司,爱慕城（东药D地块）,,,,,
,,1990-01-01 00:00:00.0,,浑南新区富农南街2号,,,,,,沈阳中一实业有限公司,商住,,,,,
,,,,沈阳经济技术开发区,,,,,,沈阳实华置业发展有限公司,实华.新鼎花园,,,,,
,,,,于洪区,,,,,,沈阳中海新海汇置业有限公司,中海城02号地块,,,,,
,,,,大东区,,,,,,辽宁彤利房地产开发有限公司,彤利?紫竹名郡二期,,,,,
,,,,东陵区,,,,,,沈阳首创新资置业有限公司,居住、商业,,,,,
,,,,和平区,,,,,,沈阳世茂新发展置业有限公司,居住小区三期,,,,,
,,,,和平区,,,,,,沈阳圣淘沙房屋开发有限公司,居住、商业（一期（2））,,,,,
,,,,沈北新区,,,,,,沈阳百益龙置业有限公司,太湖国际花园二期2.1,,,,,
,,,,铁西区路官二街,,,,,,沈阳浅草绿阁逸景房屋开发有限公司,浅草绿阁?水岸枫庭,,,,,
,,,,和平区,,,,,,沈阳中冶京唐置业有限公司,居住、商业,,,,,
,,,,沈北新区,,,,,,沈阳联东置业有限公司,沈阳联东U谷二期,,,,,
,,,,沈阳经济技术开发区,,,,,,沈阳荣盛幸福大道房地产开发有限公司,幸福大道花园二期B区,,,,,
,,,,皇姑区,,,,,,沈阳德信利和房地产开发有限公司,商业（D栋）,,,,,
,,,,沈北新区,,,,,,辽宁天泰大学城房地产开发有限公司,阳光国际花园,,,,,
,,,,铁西区,,,,,,沈阳其仕弘捷置业有限公司,其仕?和裕,,,,,
,,,,沈北新区,,,,,,晨讯置业（沈阳）有限公司,晨兴花园1.1期,,,,,
,,,,东陵区,,,,,,沈阳汇瑞房地产开发有限公司,商业,,,,,
,,,,东陵区,,,,,,沈阳华纳置业有限公司,居住、商业（一期）,,,,,
,,,,沈河区,,,,,,沈阳佳建置业开发有限公司,商业楼,,,,,
,,,,铁西区,,,,,,沈阳市铁西区城建开发有限责任公司,139地区住宅B区,,,,,
,,,,沈河区,,,,,,沈阳五联房地产开发有限公司,五连大厦,,,,,
,,1990-01-01 00:00:00.0,,,,,,,,沈阳市铁西区城建开发有限责任公司,重工新村,,,,,
,,,,沈北新区,,,,,,沈阳中铁盛丰置业有限公司,人杰水岸小区二期项目（二期）,,,,,
,,,,沈北新区,,,,,,辽宁省直建设集团有限公司,府梓新居,,,,,
,,,,高坎街道头道村,,,,,,沈阳东部置业开发有限公司,万科惠山花园一期,,,,,
,,,,和平区,,,,,,沈阳格林豪森世华房地产开发有限公司,格林生活坊四.五期,,,,,
,,,,东陵区,,,,,,沈阳浑南置业泰莱房产开发有限公司,泰莱十六区二期,,,,,
,,,,沈北新区,,,,,,沈阳东北总部基地开发建设有限公司,东北总部基地西区11区,,,,,
,,,,沈北新区,,,,,,沈阳东北总部基地开发建设有限公司,东北总部基地西区12区,,,,,
,,,,东陵区,,,,,,沈阳新洲实业股份有限公司,居住、商业（一期二区）,,,,,
,,1990-01-01 00:00:00.0,,,,,,,,沈阳市铁西区城建开发有限责任公司,康福新居（假肢厂住宅）,,,,,
,,1990-01-01 00:00:00.0,,铁西区,,,,,,沈阳市铁西区城建开发有限责任公司,康福新居二期,,,,,
,,,,东陵区,,,,,,沈阳晶森宏普房产开发有限公司,居住、商业,,,,,
,,1990-01-01 00:00:00.0,,铁西区南十一西路,,,,,,沈阳市铁西区城建开发有限责任公司,工人新村二期,,,,,
,,,,铁西区,,,,,,辽宁北华房地产开发有限公司,北华城商业,,,,,
,,,,于洪区,,,,,,沈阳正洪房屋开发有限公司,正洪花园续建工程,,,,,
,,,,铁西区,,,,,,沈阳恒富房地产开发有限公司,保利.心语花园二期,,,,,
,,,,苏家屯区,,,,,,沈阳浑南新城碧桂园房地产开发有限公司,住宅、商业（三期）,,,,,
,,,,浑南新区,,,,,,沈阳新地实业有限公司,4号商务办公楼、5号商业楼,,,,,
,,,,沈河区,,,,,,沈阳万怡房产置业有限公司,保利海上五月花二期,,,,,
,,1990-01-01 00:00:00.0,,沈河区南通天街西侧,,,,,,沈阳五联房地产开发有限公司,商业,,1,,,
,,,,东陵区,,,,,,沈阳龙玺房地产开发有限公司,上水溪谷一期,,,,,
,,,,沈北新区,,,,,,沈阳东北总部基地开发建设有限公司,东北总部基地西区15区,,,,,
,,,,皇姑区,,,,,,沈阳中海兴业房地产开发有限公司,居住、商业（四期）,,,,,
